name,completion_time,human_workload,robot_workload,human_total_time,robot_total_time,doubtful_total_time,doubtful_count,doubtful_correct_count,doubtful_wrong_count,SSD_1_doubtful_label,SSD_2_doubtful_label,SSD_3_doubtful_label,SSD_4_doubtful_label,SSD_5_doubtful_label,SSD_6_doubtful_label,SSD_7_doubtful_label,SSD_8_doubtful_label,SSD_9_doubtful_label,SSD_10_doubtful_label,SSD_11_doubtful_label,SSD_12_doubtful_label,SSD_1_human_start,SSD_1_human_end,SSD_1_human_duration,SSD_2_human_start,SSD_2_human_end,SSD_2_human_duration,SSD_3_human_start,SSD_3_human_end,SSD_3_human_duration,SSD_4_human_start,SSD_4_human_end,SSD_4_human_duration,SSD_5_human_start,SSD_5_human_end,SSD_5_human_duration,SSD_6_human_start,SSD_6_human_end,SSD_6_human_duration,SSD_7_human_start,SSD_7_human_end,SSD_7_human_duration,SSD_8_human_start,SSD_8_human_end,SSD_8_human_duration,SSD_9_human_start,SSD_9_human_end,SSD_9_human_duration,SSD_10_human_start,SSD_10_human_end,SSD_10_human_duration,SSD_11_human_start,SSD_11_human_end,SSD_11_human_duration,SSD_12_human_start,SSD_12_human_end,SSD_12_human_duration,SSD_1_robot_start,SSD_1_robot_end,SSD_1_robot_duration,SSD_2_robot_start,SSD_2_robot_end,SSD_2_robot_duration,SSD_3_robot_start,SSD_3_robot_end,SSD_3_robot_duration,SSD_4_robot_start,SSD_4_robot_end,SSD_4_robot_duration,SSD_5_robot_start,SSD_5_robot_end,SSD_5_robot_duration,SSD_6_robot_start,SSD_6_robot_end,SSD_6_robot_duration,SSD_7_robot_start,SSD_7_robot_end,SSD_7_robot_duration,SSD_8_robot_start,SSD_8_robot_end,SSD_8_robot_duration,SSD_9_robot_start,SSD_9_robot_end,SSD_9_robot_duration,SSD_10_robot_start,SSD_10_robot_end,SSD_10_robot_duration,SSD_11_robot_start,SSD_11_robot_end,SSD_11_robot_duration,SSD_12_robot_start,SSD_12_robot_end,SSD_12_robot_duration
T1.bag,107.95729947090149,3,12,47.99978542327881,300.0004777908325,47.99978542327881,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812920.022792,4.999799013137817,0.0,0.0,0.0,0.0,1761812929.0223432,5.999348402023315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812966.0229812,37.000638008117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,0,12,-0.21685409545898438,300.0004777908325,-0.21685409545898438,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812914.916461,-0.10653209686279297,0.0,0.0,0.0,0.0,1761812922.9205072,-0.10248756408691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812929.0145087,-0.007834434509277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,0,12,-0.21685409545898438,300.0004777908325,-0.21685409545898438,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812914.916461,-0.10653209686279297,0.0,0.0,0.0,0.0,1761812922.9205072,-0.10248756408691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812929.0145087,-0.007834434509277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,3,12,47.99978542327881,300.0004777908325,47.99978542327881,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812920.022792,4.999799013137817,0.0,0.0,0.0,0.0,1761812929.0223432,5.999348402023315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812966.0229812,37.000638008117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,3,12,47.99978542327881,300.0004777908325,47.99978542327881,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812920.022792,4.999799013137817,0.0,0.0,0.0,0.0,1761812929.0223432,5.999348402023315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812966.0229812,37.000638008117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,3,12,47.99978542327881,300.0004777908325,47.99978542327881,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812920.022792,4.999799013137817,0.0,0.0,0.0,0.0,1761812929.0223432,5.999348402023315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812966.0229812,37.000638008117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,3,12,47.99978542327881,300.0004777908325,47.99978542327881,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812920.022792,4.999799013137817,0.0,0.0,0.0,0.0,1761812929.0223432,5.999348402023315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812966.0229812,37.000638008117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,3,12,47.99978542327881,300.0004777908325,47.99978542327881,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812920.022792,4.999799013137817,0.0,0.0,0.0,0.0,1761812929.0223432,5.999348402023315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812966.0229812,37.000638008117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,3,12,47.99978542327881,300.0004777908325,47.99978542327881,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812920.022792,4.999799013137817,0.0,0.0,0.0,0.0,1761812929.0223432,5.999348402023315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812966.0229812,37.000638008117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,3,12,47.99978542327881,300.0004777908325,47.99978542327881,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812920.022792,4.999799013137817,0.0,0.0,0.0,0.0,1761812929.0223432,5.999348402023315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812966.0229812,37.000638008117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
T1.bag,107.95729947090149,3,12,47.99978542327881,300.0004777908325,47.99978542327881,3,2,1,,,,wrong,,correct,,,correct,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812920.022792,4.999799013137817,0.0,0.0,0.0,0.0,1761812929.0223432,5.999348402023315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812966.0229812,37.000638008117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761812857.0229046,1761812868.0230966,11.000191926956177,1761812857.0229046,1761812870.0229928,13.000088214874268,1761812857.0229046,1761812873.0230074,16.000102758407593,1761812857.0229046,1761812875.0230114,18.000106811523438,1761812857.0229046,1761812878.02299,21.00008535385132,1761812857.0229046,1761812881.022989,24.000084400177002,1761812857.0229046,1761812883.022999,26.000094413757324,1761812857.0229046,1761812886.0224204,28.999515771865845,1761812857.0229046,1761812889.022919,32.000014305114746,1761812857.0229046,1761812891.0229588,34.000054121017456,1761812857.0229046,1761812894.022912,37.00000739097595,1761812857.0229046,1761812896.023037,39.0001323223114
